x,y,theta
0.0,0.0,1.570796326794897
0.0,0.0,1.570796326794897
0.0,-0.0977384381116824,1.570796326794897
-0.0002985242462322,-0.1710416588343216,1.566723891873576
-0.0008955677877606,-0.2443430559836738,1.562651456952256
-0.0029851913028414,-0.4153725577366775,1.558579022030936
-0.0041792618828876,-0.5131037015955368,1.558579022030936
-0.0061693410096562,-0.6352605399412385,1.554506587109616
-0.0086568780332639,-0.757408260874152,1.550434152188296
-0.0128358131648006,-0.928399469705138,1.546361717266976
-0.0164177575632606,-1.07496336298884,1.546361717266976
-0.0212930066868842,-1.245936135506274,1.542289282345656
-0.0268647199710253,-1.441333589811913,1.542289282345656
-0.0322369682544227,-1.587842784364786,1.534144412503016
-0.0392006280411988,-1.758743236203538,1.530071977581696
-0.0451694792870068,-1.905229337779611,1.530071977581696
-0.0618802299937915,-2.246905469220011,1.521927107739055
-0.0709312610431314,-2.417708091662582,1.517854672817735
-0.0828648388494038,-2.612820364107926,1.509709802975095
-0.0926113754860269,-2.783584710562057,1.513782237896415
-0.1030532560665153,-2.954307948951734,1.509709802975095
-0.1131950024201253,-3.100564402214656,1.501564933132455
-0.1293009231642084,-3.319885310662353,1.497492498211135
-0.1425223324887464,-3.490415810373661,1.493420063289815
-0.1564381046192741,-3.660891052805889,1.489347628368495
-0.1668737504389639,-3.782617594142915,1.485275193447174
-0.1851565273200062,-3.977237606494067,1.477130323604534
-0.2018473276855255,-4.147463556864373,1.473057888683214
-0.2161537279988277,-4.293371514324636,1.473057888683214
-0.2335376221469829,-4.463528081111114,1.468985453761894
-0.2484381028454015,-4.609376566928096,1.468985453761894
-0.2665148024694665,-4.779460928134577,1.464913018840574
-0.2831960022129968,-4.925116490044402,1.456768148997934
-0.3054376018710372,-5.119323905924167,1.456768148997934
-0.3198327956830059,-5.240645923565915,1.452695714076614
-0.3406776044197079,-5.410413267142487,1.448623279155294
-0.362213604851388,-5.580094314056167,1.444550844233973
-0.3780899155360177,-5.701231411299719,1.440478409312653
-0.3971414883575735,-5.846595927991982,1.440478409312653
-0.4200587892173941,-6.01609594072831,1.436405974391333
-0.4436661759019197,-6.185501218952582,1.432333539470013
-0.4650830664713913,-6.330536117988936,1.424188669627373
-0.49363892056402,-6.523915983370742,1.424188669627373
-0.5119783843374504,-6.644704714790737,1.420116234706053
-0.5428946292738815,-6.837721281274226,1.411971364863413
-0.5706339088498172,-7.00649921041463,1.407898929942093
-0.586484925750352,-7.102943741352005,1.407898929942093
-0.6149113105351255,-7.27160730482789,1.403826495020772
-0.64402432908558,-7.4401537054041,1.399754060099452
-0.670154180122625,-7.584414011881426,1.391609190256812
-0.6999533496079865,-7.752840454265923,1.395681625178132
-0.7304381758178718,-7.921144145156136,1.391609190256812
-0.7577421285754555,-8.065186844741925,1.383464320414172
-0.7850460813330389,-8.209229544327714,1.383464320414172
-0.8135223245068529,-8.353045081439863,1.375319450571532
-0.8474276234815667,-8.52069318819252,1.371247015650211
-0.886176536595525,-8.712291024481273,1.371247015650212
-0.910882073693612,-8.831940052919633,1.367174580728892
-0.9461517049659393,-8.9993064477133,1.363102145807571
-0.9821026306369028,-9.166527821764934,1.359029710886251
-1.008268076232735,-9.285866093188313,1.354957275964931
-1.062541199529355,-9.524108495723684,1.346812406122291
-1.095105073507326,-9.667053937244903,1.346812406122291
-1.133775101577286,-9.833667519900652,1.342739971200971
-1.173123330078631,-10.00012224020056,1.338667536279651
-1.208011324699577,-10.14251828288251,1.33052266643701
-1.248037101053612,-10.30881138022444,1.33459510135833
-1.283504703385006,-10.45106416341342,1.32645023151569
-1.325559095510884,-10.61685585530188,1.32237779659437
-1.361605717333065,-10.75896301977771,1.32237779659437
-1.411209527657365,-10.94804149856193,1.31423292675173
-1.44841238540059,-11.0898503576501,1.31423292675173
-1.492489116231182,-11.25511589790457,1.31016049183041
-1.531421676462427,-11.39645966640531,1.30201562198777
-1.577514167074958,-11.56117438737903,1.29794318706645
-1.617022016171413,-11.70235843392793,1.29794318706645
-1.657678467790299,-11.84321601477436,1.28979831722381
-1.704441364315296,-12.00774166172616,1.29387075214513
-1.745671110542169,-12.14843250423632,1.285725882302489
-1.802170143338101,-12.33556632916161,1.277581012459849
-1.844544417935049,-12.47591669785558,1.277581012459849
-1.894647488875316,-12.63945610985975,1.273508577538529
-1.997514291986669,-12.96570792794344,1.265363707695889
-2.04961158485079,-13.12862302568623,1.261291272774569
-2.095402275505478,-13.26789620253489,1.253146402931929
-2.149486014216141,-13.43016266919819,1.249073968010608
-2.195843504539566,-13.56924821205245,1.249073968010609
-2.234946438845351,-13.68499454719195,1.245001533089288
-2.299017423967222,-13.86967296499857,1.236856663246648
-2.363088409089094,-14.0543513828052,1.236856663246648
-2.419808133848129,-14.21571534972339,1.232784228325328
-2.460791274460006,-14.33080937978201,1.228711793404008
-2.518823391843712,-14.4917060247075,1.224639358482688
-2.577510267309048,-14.6523650040533,1.220566923561368
-2.636850927551598,-14.81278365333789,1.216494488640048
-2.687714350616642,-14.95028535272469,1.216494488640047
-2.739696007641284,-15.08736821990043,1.208349618797407
-2.800992074042511,-15.24704993219101,1.204277183876087
-2.853531559529277,-15.38391997129723,1.204277183876087
-2.915477409225907,-15.54335073589954,1.200204748954767
-2.987754350331514,-15.7249746685804,1.192059879112127
-3.041962056160719,-15.86119261809104,1.192059879112127
-3.105851048601863,-16.01985469182377,1.187987444190807
-3.161718883694524,-16.1554002197552,1.179842574348166
-3.246347939643287,-16.35837554942499,1.175770139426847
-3.312812905196097,-16.51597588365807,1.171697704505526
-3.379919134928725,-16.67330423751518,1.167625269584206
-3.447665515904264,-16.83035800175225,1.163552834662886
-3.516050924569087,-16.9871345716792,1.159480399741566
-3.555128300948986,-17.07672118306603,1.159480399741566
-3.624151603151383,-17.23321795858998,1.155407964820246
-3.704489482607725,-17.41142299292544,1.147263094977606
-3.764742892199982,-17.54507676867703,1.147263094977606
-3.826082883802195,-17.6782353604779,1.139118225134966
-3.89827827181033,-17.83329432650912,1.135045790213646
-3.960160032960161,-17.96620201167874,1.135045790213645
-4.023122245365223,-18.09860127508005,1.126900920371005
-4.107071861905307,-18.2751336262818,1.126900920371005
-4.159989258733401,-18.38525175686204,1.122828485449685
-4.234700826712436,-18.53911415839805,1.118756050528365
-4.298739313551611,-18.67099621685749,1.118756050528365
-4.38555333095653,-18.84613768973032,1.110611180685725
-4.451731550888492,-18.97695912660818,1.102466310843085
-4.52831728020592,-19.12989729405252,1.106538745764405
-4.605525203459874,-19.28252230374335,1.102466310843085
-4.672766740103749,-19.41280039434158,1.094321441000444
-4.740008276747623,-19.54307848493981,1.094321441000444
-4.796484548941407,-19.65141446349099,1.090249006079124
-4.898935137917235,-19.8460036162818,1.086176571157804
-4.979234618165186,-19.99702497393767,1.082104136236484
-5.037030216256047,-20.10466289667343,1.078031701315164
-5.118557068730529,-20.25502522347745,1.073959266393844
-5.188437227994368,-20.3839072178809,1.073959266393844
-5.270575743517464,-20.53393628594431,1.069886831472524
-5.353324559846271,-20.68362960707955,1.065814396551204
-5.42529480905853,-20.81135622281987,1.057669526708563
-5.497265058270789,-20.93908283856019,1.057669526708564
-5.581836502456676,-21.08775404567384,1.053597091787243
-5.642676641765126,-21.19370087676603,1.049524656865924
-5.728456175020984,-21.34167833677505,1.045452221944603
-5.814837623872761,-21.48930523910178,1.041379787023283
-5.901819555709758,-21.63657913539783,1.037307352101963
-5.98940052796245,-21.78349758316933,1.033234917180643
-6.065493115670979,-21.90881208047898,1.025090047338003
-6.141585703379508,-22.03412657778863,1.025090047338003
-6.217678291088036,-22.15944107509828,1.025090047338003
