y,x,orientation,,Orignal,,,,,,,,,,,,,,,,,,,,
24.60,32.60,57.62,,147.62,,,,,,,,,,,,,,,,,,,,
23.95,28.70,57.80,,147.80,,,,,,,,,,,,,,,,,,,,
22.90,31.65,56.31,,146.31,,,,,,,,,,,,,,,,,,,,
23.65,32.20,56.48,,146.48,,,,,,,,,,,,,,,,,,,,
23.10,31.65,58.31,,148.31,,,,,,,,,,,,,,,,,,,,
23.55,32.70,56.48,,146.48,,,,,,,,,,,,,,,,,,,,
23.55,32.70,56.48,,146.48,,,,,,,,,,,,,,,,,,,,
24.45,32.15,59.44,,149.44,,,,,,,,,,,,,,,,,,,,
23.55,32.45,56.80,,146.80,,,,,,,,,,,,,,,,,,,,
25.35,32.25,57.53,,147.53,,,,,,,,,,,,,,,,,,,,
24.70,31.60,58.63,,148.63,,,,,,,,,,,,,,,,,,,,
24.90,31.85,61.66,,151.66,,,,,,,,,,,,,,,,,,,,
23.80,32.40,57.62,,147.62,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-0.2864658079,-0.03781466996,-0.2802461769,0.1564774633,-0.06563003593,0.07036923216,-0.2220626199,0.1516419489,0.2002898962,0.2367335879,0.005994139829,0.138765746,0.1294900628,-0.2834609363,0.02634146673,0.1646640529,-0.2086137148,-0.1311396372,0.04994430581,0.1055254063,-0.1131737706,-0.1042397973,-0.01976308634,0.2836251155,-0.2694522866
